"Status","Address","List Price","Original List Price","Sales Price","Days On Market"
"CLOSD","6957 Leire LN","$390,950","$384,950","$418,146","44"
"CLOSD","18100 Veronica CT","$565,555","$540,950","$565,555","0"
"CLOSD","6824 Cherry Creek LN","$744,885","$744,885","$875,395","0"
"CLOSD","9121 Cambian MEWS","$619,950","$619,950","$656,295","0"
"CLOSD","5918 Trail Ride DR","$549,500","$549,500","$549,500","5"
"CLOSD","17906 Pine Canyon TRL","$799,900","$849,900","$800,000","76"
"CLOSD","9300 Pentwyn PL","$489,950","$489,950","$480,000","0"
"CLOSD","8997 Glen Royal Dr","$699,950","$699,950","$691,000","138"
"CLOSD","6877 Leire LN","$468,249","$468,249","$450,000","36"
"CLOSD","3718 Bellstone DR","$740,517","$740,517","$794,065","0"
"CLOSD","17719 Silver Farm DR","$675,000","$675,000","$670,000","9"
"CLOSD","4672 Lake Summer LOOP","$925,000","$925,000","$910,000","26"
"CLOSD","6965 Leire LN","$383,950","$377,950","$434,842","43"
"CLOSD","6819 Cherry Creek LN","$724,997","$694,997","$965,000","330"
"CLOSD","5524 Singing Bird DR","$665,057","$665,057","$675,280","27"
"CLOSD","5455 Trail Ride CT","$499,461","$499,461","$500,000","40"
"CLOSD","16201 Cambian LN","$613,950","$613,950","$820,936","0"
"CLOSD","18207 Jones Run TRL","$388,500","$388,500","$495,000","7"
"CLOSD","16036 ROCKY FALLS CT","$494,990","$494,990","$508,170","7"
"CLOSD","9112 Copplestone RD","$622,950","$622,950","$754,051","0"
"CLOSD","18213 Veronica CT","$575,780","$530,560","$575,780","0"
"CLOSD","6506 Hammock Creek DR","$671,440","$451,450","$671,440","34"
"CLOSD","9131 Saxsawn LN","$588,950","$588,950","$635,691","0"
"CLOSD","9924 Maidstone CT","$498,950","$498,950","$552,765","0"
"CLOSD","6218 DEER SUMMIT CT","$677,675","$677,675","$677,675","0"
"CLOSD","9231 Saxsawn LN","$691,299","$691,299","$685,000","22"
"CLOSD","6807 Ruby Hill RD","$949,900","$949,900","$971,965","7"
"CLOSD","9706 Craftsbury DR","$453,950","$453,950","$530,251","0"
"CLOSD","13913 Collington MEWS","$425,000","$439,950","$425,000","13"
"CLOSD","16307 Cambian LN","$569,950","$569,950","$624,514","0"
"CLOSD","15701 Henningford RD","$455,950","$455,950","$506,843","0"
"CLOSD","6956 Leire LN","$358,950","$352,950","$410,067","96"
"CLOSD","18207 Veronica CT","$591,585","$499,450","$629,685","27"
"CLOSD","18201 Veronica CT","$546,060","$505,050","$546,060","0"
"CLOSD","6206 DEER SUMMIT CT","$731,760","$731,760","$731,760","0"
"CLOSD","18019 Timber Banks LN","$999,000","$999,000","$963,598","28"
"CLOSD","16313 Cambian LN","$577,950","$577,950","$848,625","0"
"CLOSD","16018 Rocky Falls CT","$555,232","$555,232","$647,469","21"
"CLOSD","9155 WIDTHBY RD","$439,990","$439,990","$531,630","21"
"CLOSD","13006 Fieldfare DR","$476,950","$476,950","$519,011","0"
"CLOSD","5119 Cabretta DR","$509,950","$526,950","$509,950","54"
"CLOSD","10525 Beachcrest CT","$649,990","$649,990","$650,000","14"
"CLOSD","17513 SHEEHAN PL","$510,725","$510,725","$510,725","0"
"CLOSD","6960 Leire LN","$416,930","$416,930","$417,920","69"
"CLOSD","6242 DEER SUMMIT CT","$592,565","$592,565","$592,880","0"
"CLOSD","9137 WIDTHBY RD","$495,990","$495,990","$553,445","10"
"CLOSD","16842 Laurel Park DR","$479,950","$491,950","$479,950","57"
"CLOSD","9201 Saxsawn LN","$849,990","$849,990","$849,990","0"
"CLOSD","6830 Cherry Creek LN","$841,655","$841,655","$780,575","97"
"CLOSD","15818 Fishers Green DR","$446,950","$446,950","$477,730","0"
"CLOSD","3560 Waverton DR","$603,997","$542,497","$683,476","426"
"CLOSD","8025 Hartridge DR","$549,950","$549,950","$550,000","15"
"CLOSD","16318 Crossfell PL","$599,950","$625,000","$575,000","64"
"CLOSD","18320 Palisades CT","$437,000","$474,110","$437,000","83"
"CLOSD","16019 Rocky Falls CT","$459,990","$464,990","$474,920","47"
"CLOSD","15831 Fishers Green DR","$547,420","$547,255","$547,995","80"
"CLOSD","6940 Leire LN","$364,950","$354,950","$424,028","119"
"CLOSD","18149 Jones Run TRL","$489,000","$589,000","$489,000","4"
"CLOSD","16030 Cambian LN","$566,950","$566,950","$843,158","0"
"CLOSD","9113 Copplestone RD","$627,950","$627,950","$808,634","0"
"CLOSD","17055 Thornapple CT","$414,990","$419,990","$414,990","25"
"CLOSD","6420 Sanford Springs CV","$552,800","$552,800","$552,291","2"
"CLOSD","6530 Hammock Creek DR","$590,775","$532,410","$590,635","0"
"CLOSD","6636 Stonewolf CT","$949,995","$949,995","$915,000","17"
"CLOSD","9306 Pentwyn PL","$488,950","$504,950","$488,950","81"
"CLOSD","18317 Palisades CT","$407,535","$407,535","$424,585","10"
"CLOSD","4713 Cabretta DR","$535,000","$545,000","$530,000","19"
"CLOSD","17107 Shoreland DR","$830,000","$830,000","$830,000","0"
"CLOSD","18125 Timber Banks LN","$868,545","$868,545","$1,033,765","0"
"CLOSD","18115 Jones Run TRL","$528,895","$513,550","$528,895","0"
"CLOSD","18103 Jones Run TRL","$499,490","$491,585","$499,490","0"
"CLOSD","9000 Widthby RD","$549,970","$503,116","$550,115","68"
"CLOSD","6524 Hammock Creek DR","$618,570","$576,925","$618,570","0"
"CLOSD","9318 Pentwyn PL","$535,000","$538,950","$535,000","13"
"CLOSD","18321 Palisades CT","$426,685","$416,685","$436,260","1"
"CLOSD","9801 Cravensford LOOP","$450,000","$469,900","$441,000","34"
"CLOSD","6548 Hammock Creek DR","$583,625","$539,700","$583,625","0"
"CLOSD","6536 Hammock Creek DR","$580,280","$536,760","$580,820","0"
"CLOSD","6512 Hammock Creek DR","$642,560","$570,510","$642,560","0"
"CLOSD","6518 Hammock Creek DR","$592,925","$564,375","$592,925","0"
"CLOSD","16018 Cambian LN","$563,950","$563,950","$843,475","0"
"CLOSD","8219 Spiral DR","$475,000","$475,000","$482,500","3"
"CLOSD","16207 Cambian LN","$586,950","$586,950","$621,068","0"
"CLOSD","9006 Widthby RD","$493,992","$493,992","$499,427","33"
"CLOSD","9907 Maidstone CT","$492,950","$492,950","$505,769","0"
"CLOSD","7001 Leire DR","$427,950","$420,950","$472,660","27"
"CLOSD","9248 Saxsawn LN","$735,567","$735,567","$737,660","3"
"CLOSD","16008 HALLOWELL RDG","$429,000","$439,950","$429,000","42"
"CLOSD","7005 Leire DR","$386,950","$386,950","$416,621","0"
"CLOSD","16413 Aklers CT","$610,000","$610,000","$610,000","5"
"CLOSD","8319 Amington LN","$514,900","$514,900","$525,000","1"
"CLOSD","18107 Jones Run TRL","$541,835","$510,310","$541,835","0"
"CLOSD","7009 Leire DR","$486,275","$418,950","$514,849","8"
"CLOSD","15313 Spiral PL","$470,000","$510,000","$470,000","24"
"CLOSD","14507 Hockliffe LOOP","$499,900","$499,900","$499,900","3"
"CLOSD","18305 Palisades CT","$426,350","$426,350","$463,430","3"
"CLOSD","16819 Laurel Park DR","$524,500","$524,500","$517,000","3"
"CLOSD","6925 Leire LN","$385,950","$382,950","$419,588","91"
"CLOSD","4512 Summer Camp CT","$819,000","$819,000","$810,000","8"
"CLOSD","18301 Palisades CT","$428,685","$428,685","$458,085","0"
"CLOSD","16006 Cambian LN","$800,410","$736,890","$801,660","0"
"CLOSD","4032 Ambergrove AVE","$442,750","$431,950","$442,750","309"
"CLOSD","6413 Doyles TRL","$549,900","$549,900","$549,900","4"
"CLOSD","9130 Widthby RD","$524,990","$524,990","$563,420","40"
"CLOSD","8712 Sanibel CT","$506,050","$502,700","$506,050","71"
"CLOSD","18031 Timber Banks LN","$882,932","$882,932","$882,932","2"
"CLOSD","6937 Leire LN","$380,975","$368,950","$409,241","118"
"CLOSD","6848 Cherry Creek LN","$799,000","$839,000","$799,000","31"
"CLOSD","12913 Craftsbury MEWS","$481,950","$481,950","$511,297","0"
"CLOSD","16500 Crossfell DR","$699,000","$699,000","$694,500","21"
"CLOSD","6706 Grand Haven LN","$774,900","$774,900","$740,000","11"
"CLOSD","3831 Bellstone DR","$714,295","$714,295","$819,470","3"
"CLOSD","15901 Fishers Green DR","$457,950","$457,950","$513,592","0"
"CLOSD","18345 Palisades CT","$424,080","$424,080","$446,475","0"
"CLOSD","18207 Maple Summit CT","$699,950","$720,465","$695,000","41"
"CLOSD","18118 Timber Banks LN","$790,805","$790,805","$869,028","2"
"CLOSD","6945 Leire LN","$419,170","$419,170","$419,340","12"
"CLOSD","15619 Henningford RD","$472,950","$472,950","$546,230","0"
"CLOSD","18341 Palisades CT","$420,150","$420,150","$449,610","0"
"CLOSD","9700 Craftsbury DR","$482,950","$482,950","$586,252","0"
"CLOSD","18337 Palisades CT","$406,130","$390,650","$406,130","7"
"CLOSD","12906 Craftsbury MEWS","$468,950","$468,950","$507,852","0"
"CLOSD","6707 Southwalk HTS","$485,000","$495,000","$479,000","45"
"CLOSD","11207 Hazelbury CT","$449,950","$449,950","$455,000","7"
"CLOSD","6542 Hammock Creek DR","$610,420","$563,175","$610,420","0"
"CLOSD","9118 Cambian PL","$579,950","$579,950","$703,120","0"
"CLOSD","18333 Palisades CT","$396,650","$396,650","$414,235","0"
"CLOSD","18352 Palisades CT","$403,750","$403,750","$412,320","0"
"CLOSD","9918 Maidstone CT","$423,950","$452,950","$473,674","0"
"CLOSD","7236 Stafford Park DR","$449,000","$449,000","$447,000","6"
"CLOSD","18329 Palisades CT","$400,980","$400,980","$416,195","0"
"CLOSD","9143 Widthby RD","$479,990","$497,025","$503,210","28"
"CLOSD","18325 Palisades CT","$416,685","$416,685","$426,370","9"
"CLOSD","4642 Lake Summer LOOP","$504,990","$504,990","$779,946","208"
"CLOSD","17318 Otter DR","$667,210","$667,210","$775,215","3"
"CLOSD","16730 Cabretta CT","$439,950","$439,950","$531,852","0"
"CLOSD","15913 Fishers Green DR","$466,950","$466,950","$593,533","0"
"CLOSD","8472 Highmarker CT","$640,000","$640,000","$665,000","5"
"CLOSD","6106 Water Violet TER","$509,950","$509,950","$509,950","19"
"CLOSD","18136 Timber Banks LN","$930,000","$930,000","$915,000","35"
"CLOSD","9936 Maidstone CT","$474,950","$474,950","$538,905","0"
"CLOSD","16318 Cambian LN","$670,570","$645,485","$670,570","0"
"CLOSD","6500 Falls Creek TRL","$563,955","$563,955","$550,000","22"
"CLOSD","15900 Fishers Green DR","$427,950","$427,950","$484,851","0"
"CLOSD","15613 New Gale DR","$525,000","$439,000","$505,000","39"
"CLOSD","9142 Widthby RD","$519,990","$519,990","$549,850","23"
"CLOSD","12505 Petrel XING Unit#29","$441,427","$439,217","$441,427","86"
"CLOSD","9149 Saxsawn LN","$591,950","$5,919,509","$701,420","0"
"CLOSD","15937 Fishers Green DR","$469,950","$469,950","$563,425","0"
"CLOSD","9137 Saxsawn LN","$739,685","$659,015","$739,825","0"
"CLOSD","13100 Fieldfare DR","$453,950","$429,950","$502,181","49"
"CLOSD","13030 Fieldfare DR","$450,950","$450,950","$514,763","0"
"CLOSD","15936 Fishers Green DR","$439,950","$439,950","$520,263","0"
"CLOSD","9007 Widthby","$551,548","$546,548","$622,622","15"
"CLOSD","17312 Otter DR","$565,900","$587,627","$876,393","61"
"CLOSD","15930 Fishers Green DR","$436,950","$436,950","$507,261","0"
"CLOSD","12907 Broad Iron CT","$469,950","$469,950","$574,240","0"
"CLOSD","17601 Stafford Park PT","$535,000","$535,000","$542,500","5"
"CLOSD","5519 Mossy Oak RD","$510,950","$611,566","$699,598","18"
"CLOSD","17718 Silver Farm DR","$599,950","$599,950","$635,000","4"
"CLOSD","14351 Ranger RD","$425,000","$425,000","$425,000","14"
"CLOSD","6254 Strongbow DR","$530,055","$526,135","$530,055","39"
"CLOSD","15806 Fishers Green DR","$570,440","$565,623","$570,440","44"
"CLOSD","9812 Craftsbury DR","$449,950","$449,950","$634,148","0"
"CLOSD","6933 Dunton RD","$375,850","$357,950","$413,330","157"
"CLOSD","18369 Palisades CT","$409,515","$409,515","$433,150","0"
"CLOSD","18207 Timber Banks LN","$678,725","$678,725","$1,032,770","2"
"CLOSD","11301 Lost Parrish DR","$352,950","$352,950","$400,400","28"
"CLOSD","18365 Palisades CT","$448,035","$397,350","$448,035","1"
"CLOSD","18401 Palisades CT","$406,500","$402,500","$424,480","7"
"CLOSD","5713 Sterlingworth DR","$579,990","$579,990","$579,990","35"
"CLOSD","16001 Cambian LN","$859,545","$750,565","$859,545","0"
"CLOSD","16106 Turquoise DR","$685,000","$685,000","$690,000","4"
"CLOSD","15824 Fishers Green DR","$456,950","$456,950","$494,588","0"
"CLOSD","18361 Palisades CT","$385,200","$385,200","$410,500","0"
"CLOSD","5536 Tag Alder TER","$549,990","$549,990","$550,000","3"
"CLOSD","13101 Fieldfare DR","$457,950","$457,950","$493,668","0"
"CLOSD","12304 Petrel XING Unit#209","$444,850","$444,850","$444,840","22"
