"Status","Address","List Price","Original List Price","Sales Price","Days On Market","Sales Date","New/Resale"
"CLOSD","10916 Bush Lake LN","$279,000","$279,000","$285,000","2","02/02/2022","Resale (occupied at least once)"
"CLOSD","3732 Arborgrove CT","$259,000","$259,000","$283,000","5","06/02/2022","Resale (occupied at least once)"
"CLOSD","4 S Beech AVE","$288,000","$290,000","$283,000","46","04/11/2023","Resale (occupied at least once)"
"CLOSD","2411 Chester Hill CIR","$280,000","$280,000","$281,000","15","09/16/2022","Resale (occupied at least once)"
"CLOSD","4421 Treely RD","$249,500","$245,000","$280,000","5","06/17/2022","Resale (occupied at least once)"
"CLOSD","14103 Liberty Oaks CIR","$290,000","$290,000","$280,000","8","10/28/2022","Resale (occupied at least once)"
"CLOSD","1137 Lees Crossing CT","$260,000","$260,000","$280,000","4","07/09/2021","Resale (occupied at least once)"
"CLOSD","315 Washington CT","$276,500","$276,500","$276,500","4","10/19/2021","Resale (occupied at least once)"
"CLOSD","1218 Huntland Rd","$289,000","$305,000","$275,000","13","07/22/2022","Resale (occupied at least once)"
"CLOSD","5307 Greatbridge TER","$265,000","$280,000","$275,000","9","03/31/2022","Resale (occupied at least once)"
"CLOSD","6353 Walnut Forest CT","$265,000","$265,000","$275,000","4","09/23/2021","Resale (occupied at least once)"
"CLOSD","7372 Pebble Lake DR","$265,000","$265,000","$275,000","5","11/12/2021","Resale (occupied at least once)"
"CLOSD","5806 Nine Mile RD","$279,000","$279,000","$272,800","6","12/28/2022","Resale (occupied at least once)"
"CLOSD","251 Rocketts WAY Unit#213","$275,000","$275,000","$271,000","49","02/21/2023","Resale (occupied at least once)"
"CLOSD","23803 Sparrow CT","$268,500","$268,500","$270,000","3","04/06/2022","Resale (occupied at least once)"
"CLOSD","5316 Oak Leaf LN","$264,950","$264,950","$270,000","2","08/17/2021","Resale (occupied at least once)"
"CLOSD","251 Rocketts WAY Unit#413","$269,000","$265,000","$269,000","6","05/11/2023","Resale (occupied at least once)"
"CLOSD","4405 Stanbrook DR","$245,000","$245,000","$265,000","3","07/28/2022","Resale (occupied at least once)"
"CLOSD","111 Fairfax AVE","$265,000","$265,000","$265,000","4","05/31/2023","Resale (occupied at least once)"
"CLOSD","18281 Democracy AVE","$255,900","$270,000","$260,900","10","08/20/2021","Resale (occupied at least once)"
"CLOSD","4006 Bryanwood RD","$235,000","$235,000","$260,000","3","10/27/2021","Resale (occupied at least once)"
"CLOSD","1704 Meadow Park DR","$245,000","$245,000","$258,000","4","03/15/2022","Resale (occupied at least once)"
"CLOSD","1902 Butor RD","$258,000","$260,000","$258,000","41","03/06/2023","Resale (occupied at least once)"
"CLOSD","3129 Newington CT","$247,500","$247,500","$257,000","4","12/30/2022","Resale (occupied at least once)"
"CLOSD","1106 Fourqurean LN","$255,900","$255,900","$255,900","32","02/03/2023","Resale (occupied at least once)"
"CLOSD","4705 Mason Woods CT","$229,000","$229,000","$255,000","5","11/12/2021","Resale (occupied at least once)"
"CLOSD","4408 Samara DR","$242,950","$242,950","$255,000","2","07/21/2022","Resale (occupied at least once)"
"CLOSD","2602 Poplar ST","$254,800","$254,800","$254,800","20","12/27/2022","Resale (occupied at least once)"
"CLOSD","3906 Orion CT","$239,950","$239,950","$252,500","42","08/12/2021","Resale (occupied at least once)"
"CLOSD","1908 Hobson LN","$235,000","$235,000","$251,000","5","03/06/2023","Resale (occupied at least once)"
"CLOSD","403 E Gladstone AVE","$255,000","$255,000","$250,000","3","05/23/2022","Resale (occupied at least once)"
"CLOSD","25104 Newtown RD","$248,000","$248","$250,000","2","10/13/2022","Resale (occupied at least once)"
"CLOSD","5507 Millstream LN","$225,000","$225,000","$250,000","13","07/27/2021","Resale (occupied at least once)"
"CLOSD","600 Yellowstone DR","$248,000","$244,500","$249,500","-23","07/06/2022","Resale (occupied at least once)"
"CLOSD","25108 Cox RD","$240,000","$240,000","$245,000","4","04/11/2022","Resale (occupied at least once)"
"CLOSD","615 Lenten Rose LN","$229,000","$229,000","$245,000","5","09/21/2021","Resale (occupied at least once)"
"CLOSD","1710 Spotsylvania ST","$240,000","$240,000","$241,500","6","05/09/2023","Resale (occupied at least once)"
"CLOSD","2210 Westover AVE","$245,000","$255,000","$240,000","45","07/25/2022","Resale (occupied at least once)"
"CLOSD","210 Bay Coat DR","$239,900","$239,900","$240,000","7","09/08/2022","Resale (occupied at least once)"
"CLOSD","6107 Ullswater AVE","$239,900","$239,900","$240,000","2","11/16/2022","Resale (occupied at least once)"
"CLOSD","4720 White Manor LN","$235,000","$260,000","$235,000","16","04/15/2022","Resale (occupied at least once)"
"CLOSD","5509 Dendron DR","$225,000","$225,000","$235,000","4","07/15/2021","Resale (occupied at least once)"
"CLOSD","346 Grayson ST","$230,000","$230,000","$235,000","6","05/18/2023","Resale (occupied at least once)"
"CLOSD","1961 Walker AVE","$225,000","$225,000","$232,000","2","04/12/2022","Resale (occupied at least once)"
"CLOSD","251 Rocketts WAY Unit#503","$230,000","$230,000","$230,000","30","07/13/2021","Resale (occupied at least once)"
"CLOSD","5744 Berrywood RD","$214,950","$214,950","$227,450","3","08/13/2021","Resale (occupied at least once)"
"CLOSD","5725 Fox Hunt TRL","$215,000","$215,000","$225,000","5","01/18/2022","Resale (occupied at least once)"
"CLOSD","12304 Eastview DR","$220,000","$220,000","$220,000","5","06/03/2022","Resale (occupied at least once)"
"CLOSD","200 Hodder LN","$205,000","$220,000","$220,000","9","09/08/2022","Resale (occupied at least once)"
"CLOSD","22229 Butterwood RD","$220,000","$220,000","$220,000","32","04/21/2022","Resale (occupied at least once)"
"CLOSD","728 Sanborn DR","$219,000","$219,000","$215,000","6","09/07/2022","Resale (occupied at least once)"
"CLOSD","1509 Front Royal DR","$199,000","$199,000","$210,000","6","06/02/2023","Resale (occupied at least once)"
"CLOSD","805 Maggie Walker AVE","$229,000","$239,950","$210,000","44","06/30/2022","Resale (occupied at least once)"
"CLOSD","3009 Allandale DR","$185,000","$185,000","$210,000","4","04/05/2022","Resale (occupied at least once)"
"CLOSD","511 Bancroft AVE","$210,000","$210,000","$210,000","2","03/16/2023","Resale (occupied at least once)"
"CLOSD","3518 Carlton RD","$173,000","$173,000","$205,000","4","03/14/2022","Resale (occupied at least once)"
"CLOSD","2029 Broad Rock Blvd BLVD","$200,000","$200,000","$200,000","4","08/26/2022","Resale (occupied at least once)"
"CLOSD","3602 Woodside CT","$185,000","$185,000","$200,000","7","06/22/2022","Resale (occupied at least once)"
"CLOSD","1614 N 31st ST","$199,000","$199,000","$199,000","12","10/20/2021","Resale (occupied at least once)"
"CLOSD","1409 Ashley ST","$199,000","$199,000","$199,000","15","12/30/2022","Resale (occupied at least once)"
"CLOSD","704 Bristol Village DR Unit#308","$200,000","$212,000","$190,123","18","09/30/2021","Resale (occupied at least once)"
"CLOSD","1711 N 27th ST","$189,999","$190,000","$189,999","14","09/16/2021","Resale (occupied at least once)"
"CLOSD","1031 Augusta AVE","$180,000","$200,000","$185,400","43","02/22/2022","Resale (occupied at least once)"
"CLOSD","8400 Brigadoon CT","$189,950","$189,950","$183,125","52","01/12/2022","Resale (occupied at least once)"
"CLOSD","1100 Kentberry RD","$175,000","$175,000","$180,500","4","11/01/2021","Resale (occupied at least once)"
"CLOSD","132 N Fern AVE","$175,000","$175,000","$171,000","3","01/06/2023","Resale (occupied at least once)"
"CLOSD","1137 S Lombardy ST","$170,480","$170,480","$170,480","2","06/29/2022","Resale (occupied at least once)"
"CLOSD","13300 Coverly RD","$169,900","$190,000","$169,900","34","05/20/2022","Resale (occupied at least once)"
"CLOSD","4032 River RD","$166,499","$171,499","$168,000","105","05/18/2022","Resale (occupied at least once)"
"CLOSD","1333 W Broad ST Unit#U303","$175,900","$179,900","$165,000","109","11/05/2021","Resale (occupied at least once)"
"CLOSD","1900 Fairmount AVE","$165,000","$165,000","$155,000","164","05/16/2022","Resale (occupied at least once)"
"CLOSD","820 Welton AVE","$145,000","$145,000","$145,000","2","12/15/2021","Resale (occupied at least once)"
"CLOSD","227 E 35th ST","$140,000","$140,000","$145,000","1","11/16/2021","Resale (occupied at least once)"
"CLOSD","822 Greystone AVE","$160,000","$160,000","$145,000","6","12/02/2022","Resale (occupied at least once)"
"CLOSD","2405 Peter Paul BLVD","$135,000","$135,000","$135,000","3","10/27/2022","Resale (occupied at least once)"
"CLOSD","2611 North AVE","$195,000","$195,000","$132,000","7","11/29/2022","Resale (occupied at least once)"
"CLOSD","2814 Caniff RD","$165,000","$175,000","$130,000","54","12/28/2021","Resale (occupied at least once)"
"CLOSD","1901 Beaver RD","$100,000","$100,000","$108,000","5","05/18/2022","Resale (occupied at least once)"
"CLOSD","805 Maggie Walker AVE","$90,000","$90,000","$90,000","4","11/05/2021","Resale (occupied at least once)"
"CLOSD","368 Jamestown RD","$95,000","$120,000","$85,000","34","07/23/2021","Resale (occupied at least once)"
"PEND","2202 Delrio DR","$240,500","$240,500","","8","","Resale (occupied at least once)"
"PEND","811 Edge Hill RD","$225,000","$225,000","","12","","Resale (occupied at least once)"
"PEND","1219 Northbury AVE","$265,000","$265,000","","3","","Resale (occupied at least once)"
"PEND","1514 Honor DR","$220,000","$215,000","","3","","Resale (occupied at least once)"
"PEND","4517 Seagrave AVE","$290,000","$290,000","","3","","Resale (occupied at least once)"
"PEND","3996 Oakleys LN","$245,000","$245,000","","13","","Resale (occupied at least once)"
"PEND","3115 Edgewood AVE","$439,900","$439,900","","3","","Resale (occupied at least once)"
"PEND","5269 Old Main ST","$629,999","$659,000","","88","","Resale (occupied at least once)"
