


Status,List Price,Original List Price,Sales Price,Days On Market
PEND,"$815,000.00","$815,000.00",,8
CLOSD,"$1,020,000.00","$1,020,000.00","$950,000.00",11
CLOSD,"$725,000.00","$705,000.00","$725,000.00",11
ACT,"$850,000.00","$850,000.00",,2
PEND,"$1,150,000.00","$1,150,000.00",,8
ACT,"$797,000.00",$797.00,,30
EXP,"$799,000.00","$850,000.00",,90
CLOSD,"$963,500.00","$963,500.00","$1,056,000.00",5
CLOSD,"$675,000.00","$675,000.00","$728,000.00",4
ACT,"$1,095,000.00","$1,095,000.00",,87
CLOSD,"$725,000.00","$725,000.00","$725,000.00",54
CLOSD,"$699,950.00","$699,950.00","$730,000.00",8
CLOSD,"$759,950.00","$759,950.00","$925,000.00",8
PEND,"$750,000.00","$750,000.00",,7
CLOSD,"$1,395,000.00","$1,395,000.00","$1,500,000.00",4
CLOSD,"$799,950.00","$799,950.00","$970,000.00",6
CLOSD,"$799,000.00","$799,000.00","$850,000.00",8
PEND,"$1,125,000.00","$1,125,000.00",,8
CLOSD,"$775,000.00","$775,000.00","$785,000.00",4
CLOSD,"$575,000.00","$575,000.00","$730,000.00",11
CLOSD,"$695,000.00","$695,000.00","$856,000.00",6
PEND,"$749,000.00","$749,000.00",,6
CLOSD,"$1,250,000.00","$1,250,000.00","$1,350,000.00",5
CLOSD,"$899,950.00","$899,950.00","$1,037,450.00",4
ACT,"$775,000.00","$775,000.00",,0
CLOSD,"$799,000.00","$799,000.00","$881,300.00",8
ACT,"$1,229,000.00","$12,299,000.00",,28
CLOSD,"$1,000,000.00","$1,000,000.00","$1,135,000.00",7
PEND,"$950,000.00","$950,000.00",,12
PEND,"$965,000.00","$965,000.00",,5
PEND,"$860,000.00","$860,000.00",,0
PEND,"$749,950.00","$749,950.00",,37
ACT,"$1,099,500.00","$1,199,500.00",,37
ACT,"$849,950.00","$849,950.00",,2
CLOSD,"$695,000.00","$695,000.00","$715,000.00",2
CLOSD,"$729,950.00","$749,950.00","$710,000.00",48
CLOSD,"$989,000.00","$989,000.00","$996,000.00",5
PEND,"$849,000.00","$849,000.00",,10
CLOSD,"$1,325,000.00","$1,325,000.00","$1,450,000.00",4
PEND,"$915,000.00","$915,000.00",,3
PEND,"$927,950.00","$927,950.00",,5
CLOSD,"$899,000.00","$899,000.00","$955,000.00",5
ACT,"$850,000.00","$850,000.00",,1
CLOSD,"$680,000.00","$680,000.00","$900,000.00",3
CLOSD,"$715,000.00","$715,000.00","$757,500.00",7
CLOSD,"$1,100,000.00","$1,100,000.00","$1,100,000.00",22
CLOSD,"$849,990.00","$849,990.00","$875,000.00",6
PEND,"$849,950.00","$849,950.00",,8
CLOSD,"$1,095,000.00","$1,295,000.00","$1,095,000.00",111
ACT,"$1,250,000.00","$1,250,000.00",,2
CLOSD,"$1,300,000.00","$1,300,000.00","$1,450,000.00",11
CLOSD,"$900,000.00","$900,000.00","$1,060,000.00",5
ACT,"$999,000.00","$999,000.00",,8
PEND,"$1,450,000.00","$1,450,000.00",,6
CLOSD,"$985,000.00","$985,000.00","$1,105,000.00",7
PEND,"$1,149,950.00","$1,149,950.00",,9
PEND,"$750,000.00","$750,000.00",,8
ACT,"$1,400,000.00","$1,400,000.00",,2
PEND,"$724,950.00","$724,950.00",,2
CLOSD,"$725,000.00","$725,000.00","$754,500.00",6
CLOSD,"$699,000.00","$699,000.00","$728,999.00",6
PEND,"$750,000.00","$750,000.00",,2
CLOSD,"$695,000.00","$695,000.00","$801,000.00",8
PEND,"$979,000.00","$979,000.00",,8
CLOSD,"$1,249,500.00","$1,249,500.00","$1,280,000.00",10
CLOSD,"$699,000.00","$699,000.00","$735,000.00",10
ACT,"$719,950.00","$719,950.00",,1
ACT,"$874,995.00","$874,950.00",,29
ACT,"$749,000.00","$749,000.00",,32
CLOSD,"$849,900.00","$849,900.00","$849,900.00",11
PEND,"$825,000.00","$825,000.00",,18
CLOSD,"$824,950.00","$824,950.00","$889,000.00",10
ACT,"$799,950.00","$849,950.00",,98
PEND,"$1,299,000.00","$1,299,000.00",,8
CLOSD,"$849,900.00","$849,900.00","$870,000.00",6
CLOSD,"$1,299,000.00","$1,299,000.00","$1,290,000.00",5
ACT,"$924,950.00","$924,950.00",,37
CLOSD,"$910,000.00","$910,000.00","$910,000.00",5
ACT,"$880,000.00","$900,000.00",,106
PEND,"$915,000.00","$949,900.00",,34
CLOSD,"$1,000,000.00","$1,000,000.00","$999,950.00",4
CLOSD,"$764,900.00","$764,900.00","$923,000.00",4
CLOSD,"$625,000.00","$625,000.00","$702,500.00",8
PEND,"$995,000.00","$995,000.00",,14
ACT,"$950,000.00","$965,000.00",,59
ACT,"$1,295,000.00","$1,295,000.00",,6
PEND,"$915,000.00","$939,900.00",,80
CLOSD,"$1,295,000.00","$1,295,000.00","$1,295,000.00",27
PEND,"$1,099,000.00","$1,175,000.00",,83
ACT,"$899,000.00","$899,000.00",,9
CLOSD,"$945,000.00","$945,000.00","$920,000.00",5
ACT,"$1,150,000.00","$1,150,000.00",,4
CLOSD,"$1,349,959.00","$1,349,959.00","$1,375,000.00",3
CLOSD,"$739,000.00","$739,000.00","$802,000.00",6
CLOSD,"$650,000.00","$650,000.00","$700,000.00",6
PEND,"$820,000.00","$820,000.00",,8
PEND,"$975,000.00","$975,000.00",,8
CLOSD,"$899,950.00","$929,950.00","$915,000.00",215
PEND,"$1,199,950.00","$1,199,950.00",,14
CLOSD,"$999,000.00","$1,015,000.00","$965,000.00",20
CLOSD,"$1,200,000.00","$1,200,000.00","$1,250,000.00",3
CLOSD,"$725,000.00","$725,000.00","$850,500.00",3
CLOSD,"$799,950.00","$799,950.00","$1,066,000.00",8
CLOSD,"$849,500.00","$849,500.00","$900,000.00",7
PEND,"$759,000.00","$759,000.00",,6
PEND,"$925,000.00","$925,000.00",,10
CLOSD,"$789,000.00","$799,000.00","$789,000.00",10
CLOSD,"$789,900.00","$789,900.00","$857,000.00",6
CLOSD,"$749,950.00","$749,950.00","$825,000.00",11
CLOSD,"$775,000.00","$790,000.00","$750,000.00",36
CLOSD,"$650,000.00","$650,000.00","$700,000.00",5
CLOSD,"$1,100,000.00","$1,100,000.00","$1,237,000.00",7
CLOSD,"$789,000.00","$789,000.00","$870,000.00",7
CLOSD,"$625,000.00","$625,000.00","$727,000.00",5
ACT,"$825,000.00","$825,000.00",,3
ACT,"$739,000.00","$739,000.00",,4
CLOSD,"$599,000.00","$599,000.00","$776,500.00",9
CLOSD,"$725,000.00","$725,000.00","$825,000.00",2
CLOSD,"$1,125,000.00","$1,125,000.00","$1,125,000.00",4
CLOSD,"$679,000.00","$679,000.00","$795,000.00",1
CLOSD,"$624,900.00","$624,900.00","$840,000.00",6
