Status,List Price,Original List Price,Sales Price,Days On Market
ACT,"$730,000.00","$730,000.00",,30
ACT,"$1,150,000.00","$1,250,000.00",,40
CLOSD,"$950,000.00","$950,000.00","$1,060,000.00",4
CLOSD,"$664,950.00","$664,950.00","$701,000.00",3
PEND,"$749,000.00","$785,000.00",,90
PEND,"$740,000.00","$740,000.00",,5
ACT,"$709,000.00","$709,000.00",,2
CLOSD,"$695,000.00","$695,000.00","$856,000.00",6
CLOSD,"$689,000.00","$689,000.00","$750,000.00",7
CLOSD,"$800,000.00","$800,000.00","$850,000.00",10
PEND,"$899,950.00","$899,950.00",,5
ACT,"$715,000.00","$715,000.00",,3
CLOSD,"$1,100,000.00","$1,100,000.00","$1,100,000.00",6
PEND,"$1,450,000.00","$1,450,000.00",,6
PEND,"$950,000.00","$950,000.00",,3
CLOSD,"$799,000.00","$799,000.00","$815,000.00",2
CLOSD,"$625,000.00","$625,000.00","$755,000.00",5
ACT,"$719,000.00","$719,000.00",,11
PEND,"$899,900.00","$899,900.00",,7
PEND,"$850,000.00","$850,000.00",,9
PEND,"$799,950.00","$865,000.00",,29
PEND,"$765,000.00","$765,000.00",,4
CLOSD,"$949,000.00","$949,000.00","$995,000.00",8
ACT,"$795,000.00","$795,000.00",,13
PEND,"$849,950.00","$849,950.00",,5
PEND,"$850,000.00","$850,000.00",,4
PEND,"$775,000.00","$775,000.00",,9
ACT,"$1,250,000.00","$1,250,000.00",,4
CLOSD,"$950,000.00","$950,000.00","$950,000.00",8
PEND,"$1,549,000.00","$1,549,000.00",,7
ACT,"$799,900.00","$849,900.00",,43
PEND,"$780,000.00","$780,000.00",,6
ACT,"$900,000.00","$900,000.00",,54
CLOSD,"$1,125,000.00","$1,125,000.00","$1,250,000.00",4
PEND,"$849,000.00","$849,000.00",,10
ACT,"$875,000.00","$875,000.00",,4
CLOSD,"$624,950.00","$624,950.00","$711,000.00",5
CLOSD,"$684,500.00","$684,500.00","$785,000.00",3
ACT,"$834,950.00","$850,000.00",,58
CLOSD,"$650,000.00","$650,000.00","$700,000.00",4
ACT,"$724,950.00","$724,950.00",,3
CLOSD,"$825,000.00","$825,000.00","$825,000.00",0
PEND,"$815,000.00","$815,000.00",,8
PEND,"$949,000.00","$949,000.00",,9
ACT,"$729,000.00","$729,000.00",,6
CLOSD,"$680,000.00","$680,000.00","$720,600.00",8
CLOSD,"$659,000.00","$659,000.00","$715,100.00",7
PEND,"$719,950.00","$739,950.00",,31
ACT,"$799,950.00","$859,950.00",,37
